field_id,value_type
21,Categorical (single)
48,Continuous
49,Continuous
50,Continuous
51,Continuous
84,Integer
87,Integer
134,Integer
135,Integer
137,Integer
1160,Integer
1170,Categorical (single)
1180,Categorical (single)
1190,Categorical (single)
1200,Categorical (single)
1210,Categorical (single)
1220,Categorical (single)
1239,Categorical (single)
1249,Categorical (single)
1259,Categorical (single)
1269,Integer
1279,Integer
1289,Integer
1299,Integer
1309,Integer
1319,Integer
1329,Categorical (single)
1339,Categorical (single)
1349,Categorical (single)
1359,Categorical (single)
1369,Categorical (single)
1379,Categorical (single)
1389,Categorical (single)
1408,Categorical (single)
1418,Categorical (single)
1428,Categorical (single)
1438,Integer
1448,Categorical (single)
1458,Integer
1468,Categorical (single)
1478,Categorical (single)
1488,Integer
1498,Integer
1508,Categorical (single)
1518,Categorical (single)
1528,Integer
1538,Categorical (single)
1548,Categorical (single)
1558,Categorical (single)
1568,Integer
1578,Integer
1588,Integer
1598,Integer
1608,Integer
1618,Categorical (single)
1628,Categorical (single)
1797,Categorical (single)
1807,Integer
1835,Categorical (single)
1845,Integer
1873,Integer
1883,Integer
2178,Categorical (single)
2188,Categorical (single)
2296,Categorical (single)
2306,Categorical (single)
2335,Categorical (single)
2443,Categorical (single)
2453,Categorical (single)
2463,Categorical (single)
2473,Categorical (single)
2492,Categorical (single)
2644,Categorical (single)
2654,Categorical (single)
2664,Categorical (single)
2867,Integer
2877,Categorical (single)
2887,Integer
2897,Integer
2907,Categorical (single)
2926,Integer
2936,Categorical (single)
2946,Integer
2956,Categorical (single)
2966,Integer
2976,Integer
2986,Categorical (single)
3005,Categorical (single)
3077,Categorical (single)
3140,Categorical (single)
3160,Continuous
3404,Categorical (single)
3414,Categorical (single)
3436,Integer
3446,Categorical (single)
3456,Integer
3466,Categorical (single)
3476,Categorical (single)
3486,Categorical (single)
3496,Categorical (single)
3506,Categorical (single)
3526,Integer
3571,Categorical (single)
3606,Categorical (single)
3616,Categorical (single)
3627,Integer
3680,Integer
3731,Categorical (single)
3741,Categorical (single)
3751,Categorical (single)
3761,Integer
3773,Categorical (single)
3786,Integer
3799,Categorical (single)
3859,Categorical (single)
3894,Integer
3912,Categorical (single)
3942,Categorical (single)
3972,Integer
3982,Integer
3992,Integer
4022,Integer
4041,Categorical (single)
4056,Integer
4067,Categorical (single)
4407,Integer
4418,Integer
4429,Integer
4440,Integer
4451,Integer
4462,Integer
4501,Categorical (single)
4728,Categorical (single)
5057,Integer
5364,Integer
5452,Categorical (single)
5463,Categorical (single)
5474,Categorical (single)
5485,Categorical (single)
5496,Categorical (single)
5507,Categorical (single)
5518,Categorical (single)
5529,Categorical (single)
5540,Categorical (single)
5959,Categorical (single)
5983,Integer
5984,Integer
5985,Integer
5986,Integer
5990,Integer
5992,Integer
5993,Integer
6014,Categorical (single)
6015,Categorical (single)
6016,Categorical (single)
6017,Categorical (single)
6019,Categorical (single)
6020,Categorical (single)
6024,Categorical (single)
6032,Integer
6033,Integer
6034,Categorical (single)
6038,Integer
6039,Integer
6144,Categorical (multiple)
6150,Categorical (multiple)
6151,Categorical (multiple)
6152,Categorical (multiple)
6153,Categorical (multiple)
6154,Categorical (multiple)
6155,Categorical (multiple)
6157,Categorical (multiple)
6158,Categorical (multiple)
6159,Categorical (multiple)
6177,Categorical (multiple)
6179,Categorical (multiple)
6183,Integer
6194,Integer
6218,Integer
6219,Integer
6220,Integer
6221,Integer
6222,Integer
6671,Integer
10004,Categorical (multiple)
10005,Categorical (multiple)
10007,Categorical (multiple)
10115,Categorical (single)
10723,Categorical (multiple)
10767,Categorical (single)
10776,Categorical (single)
10818,Categorical (single)
10827,Categorical (single)
10844,Categorical (single)
10853,Categorical (single)
10854,Categorical (multiple)
10855,Categorical (multiple)
10895,Categorical (single)
10912,Categorical (single)
12143,Integer
12144,Integer
12323,Categorical (single)
12336,Integer
12338,Integer
12340,Integer
12654,Integer
12657,Integer
20001,Categorical (multiple)
20002,Categorical (multiple)
20003,Categorical (multiple)
20006,Continuous
20007,Continuous
20008,Continuous
20012,Categorical (single)
20015,Continuous
20041,Categorical (single)
20045,Categorical (single)
20046,Categorical (single)
20047,Categorical (single)
20048,Categorical (single)
20058,Categorical (single)
20059,Categorical (single)
20060,Categorical (single)
20106,Categorical (multiple)
20107,Categorical (multiple)
20108,Categorical (multiple)
20109,Categorical (multiple)
20110,Categorical (multiple)
20111,Categorical (multiple)
20112,Categorical (multiple)
20113,Categorical (multiple)
